High,9.508667,3.5528564,0.4321289
High,9.484253,3.574829,0.38452148
High,9.432373,3.6010742,0.39733887
High,9.448853,3.6761475,0.44311523
High,9.495239,3.7615967,0.47180176
High,9.550781,3.78479,0.47668457
High,9.595947,3.8372803,0.4547119
High,9.67041,4.1088867,0.46142578
High,9.627686,4.4366455,0.4937744
High,9.591675,4.7216797,0.5358887
High,9.535522,4.9212646,0.5352783
High,9.540405,5.026245,0.6109619
High,9.524536,5.0701904,0.6970215
High,9.545288,5.1239014,0.7434082
High,9.60083,5.206909,0.78552246
High,9.628906,5.362549,0.82702637
High,9.619751,5.593872,0.7885742
High,9.68689,5.841675,0.7952881
High,9.77417,5.9960938,0.8428955
High,9.708862,5.932617,0.8416748
High,9.645996,5.9362793,0.8129883
High,9.747925,6.208496,1.0327148
High,9.743652,6.4886475,1.2255859
High,9.654541,6.7071533,1.3427734
High,9.606323,6.801758,1.338501
High,9.707642,6.812744,1.251831
High,9.70459,7.071533,1.2353516
High,9.591675,7.296753,1.2921143
High,9.46106,7.1673584,1.317749
High,9.498901,7.0288086,1.4727783
High,9.675903,6.9940186,1.7669678
High,9.820557,7.0581055,1.9537354
High,9.820557,7.095337,1.9946289
High,9.752808,7.071533,2.0898438
High,9.714966,7.053833,2.1673584
High,9.664917,7.0092773,2.243042
High,9.53125,7.020874,2.4371338
High,9.332275,7.0672607,2.6831055
High,9.144287,7.161255,2.845459
High,9.052734,7.3132324,2.9400635
High,8.931885,7.3724365,3.0993652
High,8.713989,7.414551,3.2409668
High,8.496704,7.470093,3.3831787
High,8.344727,7.4261475,3.5968018
High,8.378296,7.3461914,3.8446045
High,8.354492,7.293091,4.067383
High,8.270264,7.3425293,4.3444824
High,8.218384,7.5616455,4.7528076
High,8.14209,7.717285,5.261841
High,8.031006,7.7703857,5.8361816
High,7.8863525,7.744751,6.166382
High,7.5494385,7.6922607,6.289673
High,7.173462,7.434082,6.310425
High,7.1862793,7.48291,6.272583
High,7.2052,7.7111816,6.218872
High,7.1624756,7.557373,6.279907
High,7.036743,7.111206,6.4141846
High,6.854248,6.749878,6.463623
High,6.572876,6.8328857,6.2835693
High,6.335449,7.20459,5.900879
High,5.9576416,7.7020264,5.1293945
High,5.5932617,8.449707,4.493408
High,5.261841,9.06311,4.4903564
High,4.815674,8.886719,5.131836
